|autores|titulo|ano|group
148|LIMA, ERIC MATHEUS ROCHA&DE OLIVEIRA, VIVIAN&PAVLOVI', VLADAN&Carlos Norberto Fischer&MACHADO, AFONSO ANTONIO&TERTULIANO, IVAN WALLAN|influence expenditures football industry results case study brazilian football league|2018|148.0
149|BULHÕES, TEOBALDO&HÀ, MINH HOÀNG&MARTINELLI, RAFAEL&Thibaut Victor Gaston Vidal|vehicle routing problem service level constraints|2018|149.0
150|TAIRA, GABRIEL MAMORU NAKAMURA&Antonio Carlos Sementille&SANCHES, SILVIO RICARDO RODRIGUES|influence camera viewpoint augmented reality interaction|2018|150.0
151|CLAURE, YURI NAVARRO&Edson Takashi Matsubara&PADOVANI, CARLOS&PRATI, RONALDO CRISTIANO|water travel time estimator based derivative dynamic time warping perceptually points|2018|151.0
152|Gabriel Paludo Licks&Adriano Canabarro Teixeira&Kris Luyten|smart web platform implementation|2018|152.0
154|Díbio Leandro Borges&VIDAL, FLÁVIO B.&FLORES, MARTA R.P.&MELANI, RODOLFO F.H.&GUIMARÃES, MARCO A.&MACHADO, CARLOS E.P.|face proportions age estimation investigation features selected information criterion|2018|154.0
156|Joao Gari da Silva Fonseca Junior&NISHITSUJI, YUKI&UDAGAWA, YUSUKE&URABE, CHIYORI T.&SAITO, TETSUO&UNO, FUMICHIKA&OHTAKE, HIDEAKI&OOZEKI, TAKASHI&Ogimoto, Kazuhiko|photovoltaic power fluctuations frequency regulation control time frames study resolution data|2018|156.0
157|MOURA, DOUGLAS L.L.&CABRAL, RAQUEL S.&Thiago Bruno Melo de Sales&AQUINO, ANDRE L.L.|algorithm unit deployment betweenness centrality preprocessing|2018|157.0
158|Antonio Augusto Goncalves&Carlos Henrique Fernandes Martins&Jose Geraldo Pereira Barbosa&DE CASTRO SILVA, SANDRO LUÍS FREIRE|big data applications cancer research case study brazilian national cancer institute|2018|158.0
159|Antonio Augusto Goncalves&Carlos Henrique Fernandes Martins&Jose Geraldo Pereira Barbosa&DE CASTRO SILVA, SANDRO LUÍS FREIRE|innovation process cancer treatment implementation picture archiving communication system pacs brazilian national cancer institute|2018|159.0
160|DE CASTRO SILVA, SANDRO LUÍS FREIRE&DE OLIVEIRA, SAULO BARBARÁ&Antonio Augusto Goncalves&Carlos Henrique Fernandes Martins|service management enablers case brazilian national institute cancer|2018|160.0
161|Antonio Augusto Goncalves&CHENG Cezar&Carlos Henrique Fernandes Martins&Jose Geraldo Pereira Barbosa&DE CASTRO SILVA, SANDRO LUÍS FREIRE|business intelligence cancer prevention control case study brazilian national cancer institute|2018|161.0
162|Luiz Filipe Menezes Vieira&Marcos Augusto M. Vieira&José Augusto Miranda Nacif&Alex Borges Vieira|autonomous wireless lake monitoring|2018|162.0
