|autores|titulo|ano
277|Marcelo Laser&Elder Macedo Rodrigues&Anderson R. P. Domingues&Flávio Moreira de Oliveira&Avelino Francisco Zorzo|research note architectural evolution software product line|2015
278|Juliana Aparecida Anochi&Haroldo Fraga de Campos Velho|datum mine climate precipitation prediction use network|2015
279|Fabrício Benevides&CAMPOS, V.&Mitre Costa Dourado&Rudini Menezes Sampaio&Ana Shirley Silva|time bootstrap percolation aspect|2015
280|Antonio Jose Steidle Neto&João Carlos Ferreira Borges Júnior&Camilo de Lelis Teixeira de Andrade&Daniela de Carvalho Lopes&Priscilla Tavares Nascimento|reference estimate base requirement weather datum|2015
286|COSTA, IGOR&ARAUJO, JEAN&DANTAS, JAMILSON&CAMPOS, ELIOMAR&Francisco Airton Pereira da Silva&MACIEL, PAULO|availability evaluation sensitivity analysis mobile service platform|2015
287|O?KELLY, MORTON E.&LUNA, HENRIQUE PACCA L.&DE CAMARGO, RICARDO S.&Gilberto de Miranda Junior|hub location problem price sensitive demand|2015
289|MULLER, FELIPE MARTINS&Olinto César Bassi de Araújo&STEFANELLO, FERNANDO&Marcelo Serrano Zanetti|base heuristic machine schedule problem sequence machine setup time|2015
290|FARIA, ALEXANDRE WAGNER CHAGAS&DA SILVA, ALISSON MARQUES&DE SOUZA RODRIGUES, THIAGO&Marcelo Azevedo Costa&Antonio de Padua Braga|rank approach probe selection classification datum artificial neural network|2015
293|Thays Aparecida de Oliveira&Vitor Nazário Coelho&Marcone Jamilson Freitas Souza&Diego Luiz Teixeira Boava&Fernanda Maria Felício Macedo Boava&Igor Machado Coelho&Bruno Nazário Coelho|neighborhood search algorithm target offer market|2015
294|Taniro Rodrigues&Delicato, Flávia C.&Thais Vasconcelos Batista&Pires, Paulo F.&PIRMEZ, LUCI|approach base domain perspective develop application|2015
295|DOS SANTOS, JOYCE MIRANDA&de Moura, Edleno Silva&Altigran Soares da Silva&CAVALCANTI, JO AO MARCOS B.&TORRES, RICARDO DA SILVA&VIDAL, MÁRCIO LUIZ A.|signature base bag word method image index search|2015
299|BAYOUDH, MERIAM&Emmanuel Roux&RICHARD, GILLES&NOCK, RICHARD|knowledge learn map land cover use classification application monitor land cover use map french|2015
306|Isabel Cristina Gozer&Antonio Roberto Pereira Leite de Albuquerque&Sadao Isotani|evaluation insolvency credit union application datum mine use decision tree approach|2015
