codInstituicao|sigla|nomeInstituicao
039200000000|UFES|Universidade Federal do Espírito Santo
022900000008|FURB|Fundação Universidade Regional de Blumenau
001500000997|PRB|Philips Research Brazil
807400000006|Univ-Evry|Université d'Evry-Val-d'Essonne
831200000005|UNIVAP|Universidade do Vale do Paraíba
089100000004|PUC GOIÁS|Pontifícia Universidade Católica de Goiás
867100000004|UNIFAL/MG|Universidade Federal de Alfenas
506700000004|UNOESTE|Universidade do Oeste Paulista
007200000001|UNIFOR|Universidade de Fortaleza
033200000000|UFMT|Universidade Federal de Mato Grosso
081100000009|UCS|Universidade de Caxias do Sul
062200000004|UFAC|Universidade Federal do Acre
169700000007|UNIRIO|Universidade Federal do Estado do Rio de Janeiro
047000000007|IFPB|Instituto Federal de Educação, Ciência e Tecnologia da Paraíba
892700000006|IF-Catarinense|Instituto Federal Catarinense
033100000009|UFAL|Universidade Federal de Alagoas
584100000005|CÂMARA FEDERAL|Câmara dos Deputados
001700000001|UFRA|Universidade Federal Rural da Amazônia
001100000990|AT%26T|AT&T Labs Research
J13A00000000|FSM|Faculdade São Miguel
J13N00000005|BNDES|Banco Nacional de Desenvolvimento Econômico e Social
061500000001|FEI|Fundação Educacional Inaciana Padre Sabóia de Medeiros
001900000005|LNCC|Laboratório Nacional de Computação Científica
134800000006|UBA|Universidad de Buenos Aires
408900000008|UFSJ|Universidade Federal de São João Del-Rei
129300000000|SOUTHAMPTON|University of Southampton
985600434091|INGAR|Instituto de Desarrollo y Diseño
522600000004|UniÍTALO|Centro Universitário Ítalo Brasileiro
001600000999|UNESP|"UNESP - Universidade Estadual Paulista ""Júlio de Mesquita Filho"""
579800000001|IFMG|Instituto Federal Minas Gerais
021100000005|UFRRJ|Universidade Federal Rural do Rio de Janeiro
055600000009|COPPETEC|Fundação Coordenação de Projetos, Pesquisas e Estudos Tecnológicos
511300000003|UNISUL|Universidade do Sul de Santa Catarina
004000000003|UECE|Universidade Estadual do Ceará
