id_autor|area|subarea|esp
58072833264727|Fisiologia|Fisiologia do Esforço|
58072833264727|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
58072833264727|Matemática|Matemática Aplicada|Análise Numérica
58072833264727|Ciência da Computação|Sistemas de Computação|Software Básico
97703442306179|Ciência da Computação|Sistemas de Computação|Teleinformática
97703442306179|Ciência da Computação|Sistemas de Computação|Arquitetura de Sistemas de Computação
97703442306179|Ciência da Computação|Matemática da Computação|Modelos Analíticos e de Simulação
05349558315095|Ciência da Computação|Metodos Formais|Metodos Formais Aplicado Ao Projeto de Hardware
05349558315095|Ciência da Computação|Metodos Formais|Metodos Formais Aplicado à Hardware Software Co Design
05909365805525|Ciência da Computação|Navegação Autônoma de Robôs|
05909365805525|Ciência da Computação|Metodologia e Técnicas da Computação|Computação Bio-inspirada
05909365805525|Ciência da Computação|Metodologia e Técnicas da Computação|Inteligência Computacional
05909365805525|Ciência da Computação|Navegação Autônoma de Robôs|Robótica Coletiva
05909365805525|Ciência da Computação|Metodologia e Técnicas da Computação|Aprendizagem Artificial
05909365805525|Ciência da Computação|Sistemas de Computação|Controle Inteligente
69989873499216|Ciência da Computação|Cryptography|
69989873499216|Ciência da Computação|Teoria da Computação|
69989873499216|Ciência da Computação|Matemática da Computação|
25397757669178|Ciência da Computação|Bioinformática|
25397757669178|Genética|Genética Humana e Médica|
25397757669178|Ciência da Computação|Sistemas de Computação|Software Básico
53605283949866|Ciência da Computação|REDES DE COMPUTADORES|
53605283949866|Ciência da Computação|Segurança da Informação|
53605283949866|Ciência da Computação|Governança de TI|
53605283949866|Ciência da Computação|Sistemas Operacionais|
53605283949866|Ciência da Computação|Hardware|
92350077279084|Química|Química Orgânica|Estrutura, Conformação e Estereoquímica
92350077279084|Ciência da Computação|Matemática da Computação|Modelos Analíticos e de Simulação
92350077279084|Ciência da Computação|Metodologia e Técnicas da Computação|Banco de Dados
92350077279084|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
92350077279084|Química|Físico-Química|Espectroscopia
92350077279084|Química|Química Orgânica|Química dos Produtos Naturais
