|autores|titulo|ano|group
62|Lucas Boeira Michels&Roderval Marcelino&Vilson Gruber&Lirio Schaeffer&Luan Carlos da Silva Casagrande|remot compress test machin experiment teach mechan form|2016|62.0
63|SACCO, WAGNER F.&Ana Carolina Rios Coelho|metropoli method section particl collis algorithm result|2016|63.0
64|Sérgio Miranda&Elder Rodrigues Jr&Marco Túlio de Oliveira Valente&Ricardo Terra Nunes Bueno Villela|architectur conform check dynam type languag|2016|64.0
65|MAFFORT, CRISTIANO&Marco Tulio de Oliveira Valente&Ricardo Terra Nunes Bueno Villela&BIGONHA, MARIZA&ANQUETIL, NICOLAS&HORA, ANDRÉ|mine violat version histori|2016|65.0
66|Marcelo Medeiros Eler&André Takeshi Endo&Vinicius Humberto Serapilha Durelli|empir studi quantifi characterist java program influenc symbol execut unit test perspect|2016|66.0
67|Diane Castonguay&Elisângela Silva Dias|enumer cycl cyclic graph|2016|67.0
68|Elisângela Silva Dias&Diane Castonguay|recognit cluster algebra type|2016|68.0
69|Elisângela Silva Dias&Diane Castonguay&Mitre Costa Dourado|algorithm properti posit matric|2016|69.0
70|PELINSON ALCHIERI, EDUARDO ADILIO&BESSANI, ALYSSON&Fabíola Gonçalves Pereira Greve&DA SILVA FRAGA, JONI|knowledg connect requir solv byzantin consensu particip|2016|70.0
71|Diego Luís Kreutz&Oleksandr Malichevskyy&Eduardo Feitosa&Hugo Cunha&Rodrigo da Rosa Righi&Douglas Dyllon Jeronimo de Macedo|architectur secur servic|2016|71.0
72|Pedro van Rooij Costa&Aldo von Wangenheim&Christiane Gresse von Wangenheim&Andrei Inacio Souza&Douglas Dyllon Jeronimo de Macedo|usabl engin radiolog workstat mobil devic experi report|2016|72.0
73|OLIVEIRA, MAXWELL GUIMARÃES DE&Cláudio Elízio Calazans Campelo&Cláudio de Souza Baptista&BERTOLOTTO, MICHELA|gazett enrich address area case studi|2016|73.0
74|GIL-GOUVEIA, RAQUEL&Antônio Manuel Gouveia de Oliveira&MARTINS, ISABEL PAVÃO|subject cognit symptom migrain attack studi clinic base sampl|2016|74.0
75|PISCO, JOÃO&BILHIM, TIAGO&PINHEIRO, LUIS C.&FERNANDES, LÚCIA&PEREIRA, JOSÉ&COSTA, NUNO V.&DUARTE, MARISA&Antônio Manuel Gouveia de Oliveira|prostat embol altern open surgeri patient larg prostat moder sever lower urinari tract symptom|2016|75.0
76|MARTINS, R. R.&DUARTE FARIAS, A.&RUSSEL MARTINS, R.&Antônio Manuel Gouveia de Oliveira|influenc use plant medic adher peopl|2016|76.0
77|GIL-GOUVEIA, RAQUEL&Antônio Manuel Gouveia de Oliveira&PAVÃO MARTINS, ISABEL|clinic util mig scog|2016|77.0
78|PISCO, JOÃO M.&BILHIM, TIAGO&PINHEIRO, LUIS C.&FERNANDES, LUCIA&PEREIRA, JOSE&COSTA, NUNO V.&DUARTE, MARISA&Antônio Manuel Gouveia de Oliveira|long term outcom prostat arteri embol patient benign prostat hyperplasia result patient|2016|78.0
79|HOLANDA, ANTÔNIO ARILDO REGINALDO DE&GONÇALVES, ANA KATHERINE DA SILVEIRA&MEDEIROS, ROBINSON DIAS DE&Antônio Manuel Gouveia de Oliveira&MARANHÃO, TÉCIA MARIA DE OLIVEIRA|find chang breast diseas pregnanc lactat|2016|79.0
80|RIBEIRO, SUSANA BARBOSA&DE ARAÚJO, AURIGENA ANTUNES&MEDEIROS, CAROLINE ADDISON XAVIER&CHAVES, KATARINA MELO&ALVES, MARIA DO SOCORRO COSTA FEITOSA&Antônio Manuel Gouveia de Oliveira&MARTINS, RAND RANDALL|factor associ express symptom user|2016|80.0
81|BILHIM, TIAGO&PISCO, JOÃO&PEREIRA, JOSÉ A.&COSTA, NUNO VASCO&FERNANDES, LÚCIA&CAMPOS PINHEIRO, LUÍS&DUARTE, MARISA&Antônio Manuel Gouveia de Oliveira|predictor clinic outcom prostat arteri embol spheric nonspher polyvinyl alcohol particl patient benign prostat hyperplasia|2016|81.0
82|VALE, TASSIO&DE ALMEIDA, EDUARDO SANTANA&ALVES, VANDER&Uira Kulesza&NIU, NAN&DE LIMA, RICARDO|softwar product line traceabl map studi|2016|82.0
83|Jane Maryam Rondina&FILIPPONE, MAURIZIO&GIROLAMI, MARK&WARD, NICK S.|decod motor function brain imag|2016|83.0
84|Luiz Eduardo Galvão Martins&GORSCHEK, TONY|requir engin safeti critic system systemat literatur review|2016|84.0
85|GONÇALVES, VINÍCIUS P.&GIANCRISTOFARO, GABRIEL T.&FILHO, GERALDO P. R.&JOHNSON, THIENNE&CARVALHO, VALÉRIA&PESSIN, GUSTAVO&Vania Paula de Almeida Neris&UEYAMA, JÓ|assess user emot interact time approach sensor|2016|85.0
86|Botega, Leonardo C.&Jessica Oliveira Souza&Jorge, F. R.&Coneglian, Caio S.&CAMPOS, MÁRCIO R.&Vania Paula de Almeida Neris&Regina Borges de Araujo|methodolog data inform qualiti assess context emerg situat awar|2016|86.0
87|Angelica A. de A. Ribeiro&Jugurta Lisboa Filho&Lucas F. M. Vegi&Alcione de Paiva Oliveira&Regina Maciel Braga&Emílio José de S. Fonseca|architectur base semant web retriev inform pattern repositori|2016|87.0
88|CERQUEIRA, FABIO RIBEIRO&RICARDO, ADILSON MENDES&Alcione de Paiva Oliveira&GRABER, ARMIN&BAUMGARTNER, CHRISTIAN|improv sensit cost network threshold selector algorithm|2016|88.0
89|MARQUES, YURI BENTO&Alcione de Paiva Oliveira&RIBEIRO VASCONCELOS, ANA TEREZA&CERQUEIRA, FABIO RIBEIRO|machin learn smote forest improv select pre ab predict|2016|89.0
90|OLIVEIRA, LUCIENE CHAGAS DE&Alcimar Barbosa Soares&Alexandre Cardoso&ANDRADE, ADRIANO DE OLIVEIRA&Edgard Afonso Lamounier Júnior|mobil augment realiti enhanc navig wheelchair user|2016|90.0
91|Oliveira, Eduardo C.&Oliveira, Luciene C.&Alexandre Cardoso&Mattioli, Leandro&Edgard Afonso Lamounier Júnior|model inform visual base|2016|91.0
92|Kleber Vieira Cardoso&Sand Luz Correa&José Ferreira de Rezende&Bruno Soares da Silva&Micael Oliveira Massula Carvalho de Mello&Mário Augusto da Cruz|traffic filter rule devic transpar flow switch automat dynam circuit creation hybrid network|2016|92.0
93|Welder Batista de Oliveira&Sávio Salvarino Teles de Oliveira&Vagner José do Sacramento Rodrigues&Helton Saulo Bezerra dos Santos&Kleber Vieira Cardoso|method locat recommend skylin queri toler nois data|2016|93.0
94|DE MELLO, MICAEL O.M.C.&BORGES, VINICIUS C.M.&PINTO, LEIZER L.&Kleber Vieira Cardoso|improv load balanc path length stabil low cost wireless backhaul|2016|94.0
95|Márcia Rosana Cerioli&Paloma Thomé de Lima|intersect longest path graph class|2016|95.0
96|Márcia Rosana Cerioli&Daniel Fabio Domingues Posner&Nicolas A Martins&Rudini Sampaio|graph|2016|96.0
97|MANZAN, JOSÉ RICARDO GONÇALVES&Yamanaka, Keiji&PERETTA, IGOR SANTOS&PINTO, EDMILSON RODRIGUES&OLIVEIRA, TIAGO ELIAS CARVALHO&Shigueo Nomura|discuss concern perform type network use vector|2016|97.0
98|Cristian Duran-Faundez&Daniel Gouveia Costa&Vincent Lecuire|perimet base calcul object coverag multi camera system|2016|98.0
99|COLLOTTA, M.&Daniel Gouveia Costa&FALCONE, F.&KONG, X.|challeng time sensor network theori applic|2016|99.0
100|Daniel Gouveia Costa&Cristian Duran-Faundez|assess avail wireless visual sensor network base target perimet coverag|2016|100.0
101|F. SILVA, TASSALON&Daniel Gouveia Costa|central algorithm redund coverag maxim wireless visual sensor network|2016|101.0
102|Daniel Gouveia Costa&Vasques, Francisco&Portugal, Paulo|enhanc avail wireless visual sensor network select redund node network occlus|2016|102.0
103|Giovana R. Ferreira&Antônio Maurício Tannure&Lucas Cardoso&Andrea Gomes Campos Bianchi&melissa Fabiola Pinto Savedra&Bianchi, Rodrigo Fernando|colorimetr dosimet promot use neonat phototherapi|2016|103.0
104|Mirela&Andrea Gomes Campos Bianchi&Daniela M. Ushizima&Felipe José Pavinato&Bianchi, Rodrigo Fernando|ammonia ga sensor base frequenc depend imped characterist film|2016|104.0
105|LU, ZHI&CARNEIRO, GUSTAVO&BRADLEY, ANDREW&USHIZIMA, DANIELA&NOSRATI, MASOUD S.&Andrea Gomes Campos Bianchi&CARNEIRO, CLAUDIA&HAMARNEH, GHASSAN|evalu algorithm segment overlap cervic cell|2016|105.0
106|Alcides Xavier Benicasa&Marcos G Quiles&SILVA, THIAGO C.&Zhao Liang&Roseli Aparecida Francelin Romero|object base select framework|2016|106.0
107|Thiago Vinícius Vieira Batista&Ronei Marcos de Moraes&Liliane dos Santos Machado&Ana Maria Gondim Valença|evalu user gestur rehabilit electromyograph signal|2016|107.0
108|Liliane dos Santos Machado&Ana Maria Gondim Valença&Alana Marques de Morais|assess model educ health base game environ|2016|108.0
109|Nayara Pereira Limão&Julio Cesar Campos Ferreira Filho&Ane Polline Lacerda Protasio&Bianca Marques Santiago&Luciano Bezerra Gomes&Liliane dos Santos Machado&Ana Maria Gondim Valença|equip suppli associ health care unit|2016|109.0
110|Armstrong, Alasdair&Victor Borges Ferreira Gomes&Struth, Georg|build program construct verif tool principl|2016|110.0
112|Victor Borges Ferreira Gomes&Struth, Georg|program construct verif compon base algebra|2016|112.0
113|Alexandre da Silva Simões&Esther Luna Colombini&Carlos Henrique da Costa Ribeiro|attent base integr model human robot|2016|113.0
