autores*|*titulo*|*ano
PRADO, RACHEL BARDY&MENDES, IEDA DE CARVALHO&REATTO, ADRIANA&PARRON, LUCÍLIA MARIA&CLEMENTE, ELIANE DE PAULA&DONAGEMMA, GUILHERME KANGUSSU&TURETTA, ANA PAULA DIAS&Margareth Simões Penello Meirelles&Elaine Cristina Cardoso Fidalgo&MONTEIRO, JOYCE MARIA GUIMARÃES&SCHULER, AZENETH EUFRAUSINO&VEZZANI, FABIANE MACHADO&GARCIA, JUNIOR RUIZ&OLIVEIRA, ALINE PACOBAYBA DE&VIANA, JOÃO HERBERT MOREIRA&PEDREIRA, BERNADETE DA CONCEIÇÃO CARVALHO GOM*|*Current overview and potential applications of the soil ecosystem services approach in Brazil*|*2016
SARAIVA, RENATA&PERKUSICH, MIRKO&Lenardo Chaves e Silva&ALMEIDA, HYGGO&SIEBRA, CLAUIRTON&PERKUSICH, ANGELO*|*Early Diagnosis of Gastrointestinal Cancer by Using Case-Based and Rule-Based Reasoning*|*2016
Danillo Roberto Pereira&Mario Augusto Pazoti&Luis M. A. Pereira&Douglas Rodrigues&Andre N. Souza&João Paulo Papa*|*Social-Spider Optimization-based Support Vector Machines Applied for Energy Theft Detection*|*2016
Daniel Osaku&Danillo Roberto Pereira&João Paulo Papa*|*Fine-Tuning Contextual-Based Optimum-Path Forest for Land-Cover Classification*|*2016
Danillo Roberto Pereira&João Paulo Papa*|*A New Approach to Contextual Learning using Interval Arithmetic and its Applications for Land-use Classification*|*2016
João Paulo Papa&Luciene Papa&Danillo Roberto Pereira&Rodrigo Pisani*|*A Hyperheuristic Approach for Unsupervised Land-Cover Classification*|*2016
Leandro Aparecido Passos Junior&Caio Cesar Oba Ramos&Douglas Rodrigues&Danillo Roberto Pereira&Andre Nunes Souza&Kelton Augusto Pontada da Costa&PAPA, JOÃO P.*|*Unsupervised non-technical losses identification through optimum-path forest*|*2016
Victor Hugo C. de Albuquerque&Thiago M. Nunes&Danillo Roberto Pereira&Eduardo Jos &#769; e da S. Luz&David Menotti&PAPA, JOÃO P.&J. M. R. S. Tavares*|*Robust automated cardiac arrhythmia detection in ECG beat signals*|*2016
ASSIS DA SILVA, FRANCISCO&Danillo Roberto Pereira*|*A NEW APPROACH FOR URBAN ROADS DETECTION USING LASER DATA AND AERIAL DIGITAL IMAGES*|*2016
MESSIAS C COELHO, MATEUS&ASSIS DA SILVA, FRANCISCO&AUGUSTO PAZOTI, MÁRIO&Danillo Roberto Pereira&LUIZ BARBOSA, RICARDO&BEZERRA DE ARAÚJO GALLIS, RODRIGO*|*VISUALIZACAO DE AMBIENTES INTERNOS ATRAVES DE INTERATIVIDADE COMPUTACIONAL PROVIDA POR IMAGENS PANORAMICAS*|*2016
SEKINE, GUILHERME&Danillo Roberto Pereira&ASSIS DA SILVA, FRANCISCO&AUGUSTO PAZOTI, MÁRIO&MOLINA SAPIA, HELTON*|*UM NOVO METODO PARA IDENTIFICACAO DE CAMERA A PARTIR DE IMAGENS DIGITAIS*|*2016
DO VALE MANUEL, LUCAS&ASSIS DA SILVA, FRANCISCO&AUGUSTO PAZOTI, MÁRIO&Danillo Roberto Pereira&LUIZ DE ALMEIDA, LEANDRO&OLIVETTE ARTERO, ALMIR*|*IDENTIFICACAO E RASTREAMENTO DE PESSOAS POR MEIO DE IMAGENS DIGITAIS CAPTURADAS A PARTIR DE CAMERAS DE VIDEO*|*2016
NISHIZIMA, JULIANO&LUIZ DE ALMEIDA, LEANDRO&Danillo Roberto Pereira&ASSIS DA SILVA, FRANCISCO&PANDUR A CABRAL, FLAVIO*|*ROBO AUTONOMO MOVEL SEGUIDOR DE SIMBOLO*|*2016
Clayton Reginaldo Pereira&Danillo Roberto Pereira&ASSIS DA SILVA, FRANCISCO&João Paulo Masiero&SILKE A. WEBER&Christian Hook&PAPA, JOÃO P.*|*A new computer vision-based approach to aid the diagnosis of parkinson's disease*|*2016
Hjalmar K. Turesson&Sidarta Ribeiro&Danillo Roberto Pereira&PAPA, JOÃO P.&V. H. C. de Albuquerque*|*Machine Learning Algorithms for Automatic Classification of Marmoset Vocalizations*|*2016
João Paulo Vieira&Fábio Parreira&Sidnei Renato Silveira*|*Desenvolvimento de um Sistema para Auxilio ao Diagnostico de Diabetes empregando Redes Neurais (SADD)*|*2016
Silvana Kliszcz&Sidnei Renato Silveira&Fábio Parreira*|*Jogo Educacional Digital para apoio ao Aprendizado de Matematica*|*2016
Mauricio Andreazza Sganderla&Guilherme Lacerda&Vinicius Gadis Ribeiro&Sidnei Renato Silveira*|*Aprimorando a Gerencia e o Desenvolvimento de Software com Metodologias Ageis*|*2016
Daniel Prediger&Sidnei Renato Silveira&Edison Pignaton de Freitas*|*Modelo de Aplicabilidade de Sistema RFID para Rastreabilidade na Industria Alimenticia*|*2016
Álan Cafruni Gularte&Vinicius Gadis Ribeiro&Sidnei Renato Silveira*|*Um Prototipo para Monitoramento em Tempo Real do Transporte Publico de Porto Alegre - RS por GPS (Global Positioning System)*|*2016
Ricardo Marques Sastre&Sidnei Renato Silveira&Maximiliano Camargo Rodrigues*|*Proposta de Aplicacao de Recursos de Educacao a Distancia no Planejamento de Design de Embalagens*|*2016
Vinicius Gadis Ribeiro&Sidnei Renato Silveira&Fernanda P. Manini&Daniel Arrais Barroso&ZABADAL, Jorge Gustavo*|*Uma analise conceitual sobre as tecnicas de coleta de dados utilizados em Design*|*2016
Paulo Roberto Ceratti&Cristiano Bertolini&Sidnei Renato Silveira*|*Implementacao do Nivel G do MPS.BR na Empresa Digifred Sistemas*|*2016
Sidnei Renato Silveira&Fábio Parreira&Naidú Gasparetto de Souza&Adriana Sadowski de Souza*|*Adaptacao de Cursos a Distancia Empregando Objetos de Aprendizagem*|*2016
Maik Basso&Silvana Kliszcz&Fábio Parreira&Sidnei Renato Silveira*|*Jogo Educacional Digital para Auxilio a Alfabetizacao Utilizando Redes Neurais Artificiais*|*2016
Mauro André Murari&Guilherme Bernardino da Cunha&Sidnei Renato Silveira*|*Desenvolvimento de uma Ferramenta para Migracao de um Banco de Dados Relacional Firebird para o nao-relacional MongoDB*|*2016
Helio Sergio Pinto Portugal&Luciano Silva&Karl Philips Apaza Aguero&Leonardo Gomes&Renato Tambara Filho&Rogerio De Fraga*|*3D Viewer Software Build Based on Scanned Synthetic Female Pelvic Floor Model*|*2016
KAPPEL, MARCO A.A.&FABBRI, RICARDO&Roberto Pinheiro Domingos&BASTOS, IVAN N.*|*Novel electrochemical impedance simulation design via stochastic algorithms for fitting equivalent circuits*|*2016
Gustavo Mendes Platt&MOURA NETO, F. D.&Roberto Pinheiro Domingos&Marco Andre Abud Kappel&Ivan Napoleão Bastos*|*Multiple solution algorithm with applications to robot kinematics*|*2016
Letícia Pavesi Mansano&José Marcelo Almeida Prado Cestari*|*Metodo LRCF para levantamento de requisitos de projeto baseado em cartoes de funcionalidade*|*2016
Marcelo Tadeu Borgonovo&José Marcelo Almeida Prado Cestari*|*Analise de riscos em orcamentos de pequenas obras no ramo de energia eletrica*|*2016
Geison Muller Laureano&José Marcelo Almeida Prado Cestari*|*Analise do impacto do uso de veiculos eletricos na mobilidade urbana*|*2016
Luiz Carlos Moreira&José Marcelo Almeida Prado Cestari*|*A influencia das redes sociais na comunicacao organizacional*|*2016
Lucas Boeira Michels&Roderval Marcelino&Vilson Gruber&Lirio Schaeffer&Luan Carlos da Silva Casagrande*|*Remote Compression Test Machine for Experimental Teaching of Mechanical Forming*|*2016
FELISBERTO, PROXÉRIO MANOEL&Roderval Marcelino&GONÇALVES, ALEXANDRE LEOPOLDO&ALVES, JOÃO BOSCO DA MOTA*|*Recuperacao da informacao e a consulta a base de dados no processo de busca do Mecanismo Online para Referencias*|*2016
Rodrigo Franco Gonçalves&Vagner Luiz Gava&André Leme Fleury&Marcelo Schneck de Paula Pessôa&Mauro de Mesquita Spinola*|*Uma abordagem sistemica do processo de producao em engenharia web, na fase de concepcao*|*2016
